Título,Director,Integrantes,Estado,Tipo de proyecto,Descripción,Institución,Fecha de inicio,Fecha de finalización,Enlace,Código
Cuerpo presente. Enfermedad y muerte en la literatura y las artes visuales argentinas y latinoamericanas contemporáneas,"Montes, Alicia - Ares, María Cristina",S/D,finalizado,PRIG,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2018,S/D,S/D
Entre oralidad y escritura: una mirada comparativa sobre sus orígenes y desarrollo,"Nuñez, Nathalie",S/D,finalizado,PRIG,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2018,S/D,S/D
 Género - Género. Educación - Reproducción Filología - Posteoría,"Palacios, Jimena - Usuca, Noel",S/D,finalizado,PRIG,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2018,S/D,S/D
"Historia de la propiedad literaria en la Argentina. Antecedentes, discusiones y fundamentos
","Raia, Matías - Heidel, Evelin",S/D,finalizado,PRIG,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2018,S/D,S/D
"Lecturas de la sincronía: literaturas latinoamericanas y poesía de los 90
","Rodríguez Baigorria, Martín Carlos",S/D,finalizado,PRIG,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2018,S/D,S/D
Hacia una caracterización del estilo biográfico de Cornelio Nepote: traducción y análisis textual,"Sapere, Analía Melone, Juan",S/D,finalizado,PRIG,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2018,S/D,S/D
Materialidades discursivas y políticas editoriales del libro en la Argentina (2000-2015),"Tosi, Carolina",S/D,finalizado,PRIG,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2018,S/D,S/D
 La arquitectura de la Facultad del Lenguaje: Relación entre el Sistema Computacional y otros componentes de la Gramática,"Sitgliano, Laura - Trebisacce, Romina",S/D,finalizado,PRIG,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2018,S/D,S/D
Lo femenino en los dos miles: coming of age y construcción de la subjetividad femenina en el siglo XXI,"Villafañe, María ",S/D,finalizado,PRIG,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2018,S/D,S/D
"El erotismo y la sexualidad en la literatura francesa libertina del siglo XVIII
","Zorrilla, Natalia - de la Vega, María",S/D,finalizado,PRIG,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2018,S/D,S/D
Retraso y alteraciones en el desarrollo del lenguaje oral. Implicancias para la alfabetización inicial: estrategias de trabajo en el espacio del aula,"Zunino, Gabriela Mariel - Casajús, Andrea",S/D,finalizado,PRIG,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2018,S/D,S/D
"Retórica y oratoria clásicas: sistematización, aplicación y proyecciones en el discurso político contemporáneos","Daujotas, Gustavo - Radiminski, Marisel",S/D,finalizado,PRIG,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2018,S/D,S/D
El archivo como política de lectura. Reformulaciones teóricas y metodológicas en América Latina acerca de archivos y manuscritos,"Goldchluk, Graciela Beatriz",S/D,vigente,PICT,S/D,Universidad de la Plata; Agencia Nacional de Promoción Científica y Tecnológica ,2015,2019,S/D,PICT-2015- 0743
La historiografía de la cultura literaria latinoamericana a través de las redes intelectuales,"Maíz, Claudio Gustavo",S/D,vigente,PICT,S/D,Universidad Nacional de Cuyo; Agencia Nacional de Promoción Científica y Tecnológica ,2015,2019,S/D,PICT-2015- 0477
La Naturaleza en la Literatura Latina. El campo semántico de Natura y sus funciones textuales: caracterización y dinámica de res,"Galán, Lía Margarita",S/D,vigente,PICT,S/D,Universidad Nacional de la Plata; Agencia Nacional de Promoción Científica y Tecnológica ,2015,2019,S/D,PICT-2015- 2035
Tecnologías de papel. Patrones para la documentación y comunicación científica en los estudios de lenguas indígenas de Patagonia,"Malvestitti, Liliana Marisa",S/D,vigente,PICT,S/D,Universidad Nacional de Río Negro; Agencia Nacional de Promoción Científica y Tecnológica ,2015,2019,S/D,PICT-2015- 1507
Las publicaciones periódicas como contextos formativos de la literatura argentina (siglo XX),"Rogers, Geraldine",S/D,vigente,PICT,S/D,Universidad Nacional de La Plata; Agencia Nacional de Promoción Científica y Tecnológica ,2015,2019,S/D,S/D
La comunidad discursiva del Archivo de la Dirección de Inteligencia de la Policía de la Provincia de Buenos Aires (DIPBA),"Vitale, María Alejandra","
Dagatti, Mariano
Chiavarino, Nicolás Alejandro
Magnanego, Florencia
Bettendorff, María Elsa",vigente,PICT,"El archivo de la Dirección de Inteligencia de la Policía de la Provincia de Buenos Aires (DIPBA), creada en 1956 (con herencia de legajos de anteriores dependencias de ""orden social y político"", fechados desde 1932) y disuelta en 1998, es usado en la actualidad en especial como fuente que contribuya a políticas de reparación a las víctimas del Terrorismo de Estado y como registro probatorio en las causas judiciales contra quienes cometieron delitos de lesa humanidad. Asimismo, es empleado como fuente documental por historiadores, quienes a partir de la apertura de su consulta pública en 2003 han reflexionado -como se ha hecho también desde la sociología y la antropología social- sobre su relación con la conformación de la memoria colectiva. Hasta el momento, ninguna investigación ha abordado dicho archivo desde el marco del análisis del discurso, salvo la iniciada por integrantes de este Equipo de Trabajo mediante un Proyecto UBACyT, que no contempló el estudio del material icónico ni multimodal preservado en el Archivo de la DIPBA. En este sentido, este Proyecto formula que una comunidad discursiva incluye un régimen escópico, lo que no ha sido considerado con anterioridad por el análisis del discurso. Este Proyecto propone así un primer estudio que indague el Archivo DIPBA como comunidad discursiva mediante el análisis de los dispositivos genéricos, el ethos y su antiethos u otro, su régimen escópico y la memoria discursiva. En efecto, como objetivos específicos plantea: a. Caracterizar los géneros discursivos empleados por el grupo productor del archivo DIPBA. b. Describir el ethos de quienes practicaron el espionaje político-ideológico, incluyendo sus opiniones sobre el cine, el teatro, la literatura y la construcción de su antiethos u otro (contemplados los estudiantes, los sindicalistas y la comunidad antifranquista española en la Argentina). c. Describir la memoria discursiva que opera en los discursos producidos por este grupo. d. Caracterizar el régimen escópico inherente al grupo productor del archivo DIPBA. e. Contrastar la construcción del ethos, sus opiniones sobre el cine, la literatura y su antiethos u otro (incluidos los estudiantes, los sindicalistas y la comunidad antifranquista española en la Argentina), los géneros discursivos empleados, el régimen escópico y la memoria discursiva en relación con las diversas condiciones de producción del archivo de la DIPBA, en particular la alternancia entre democracia y dictadura.",Instituto de Lingüística; Facultad de Filosofía y Letras; Universidad de Buenos Aires; Agencia Nacional de Promoción Científica y Tecnológica ,2017,2020,http://il.institutos.filo.uba.ar/proyecto/la-comunidad-discursiva-del-archivo-de-la-direcci%C3%B3n-de-inteligencia-de-la-polic%C3%ADa-de-la,PICT- 2015/3712
Perspectivas de la performance en la Grecia Antigua. Contextos culturales para la transmisión poética de la memoria cultural,"Torres, Daniel Alejandro",S/D,finalizado,PICT,S/D,Universidad de Buenos Aires; Agencia Nacional de Promoción Científica y Tecnológica ,2015,S/D,S/D,PICT-2015- 0799
La traducción y glosa de la Divina Comedia (1515) en el marco de la literatura apologética del reinado de los Reyes Católicos,"Hamlin, cinthia",S/D,finalizado,PICT,S/D,Consejo Nacional de Investigaciones Científicas y Técnicas; Agencia Nacional de Promoción Científica y Tecnológica ,2015,S/D,S/D,PICT-2015- 1935
Funciones institucionales y políticas intelectuales en la crítica literaria y cultural argentina (1910-2010),"Crespi, Gerardo Maximiliano",S/D,finalizado,PICT,S/D,Universidad Nacional de La Plata; Agencia Nacional de Promoción Científica y Tecnológica ,2015,S/D,S/D,PICT-2015- 1630
"Proyectos transtemporales: narrativas de larga duración en la literatura, el teatro y el cine argentinos ","Contreras, Sandra Claudia",S/D,finalizado,PICT,S/D,Universidad Nacional de Rosario; Agencia Nacional de Promoción Científica y Tecnológica ,2017,S/D,S/D,PICT-2017- 2339
El enfoque dialógico de la argumentación y de la polifonía. Un modelo semántico-pragmático para el análisis de la subjetividad ,"García Negroni, María Marta",S/D,S/D,PICT,S/D,Universidad de Buenos Aires; Agencia Nacional de Promoción Científica y Tecnológica ,2017,S/D,S/D,PICT-2017- 2942
Términos críticos y palabras clave en la literatura latinoamericana," Colombi, Beatriz","Teglia, Vanina -
Ruiz, Facundo -
Aldao, María Inés - Caresani, Rodrigo -
Rosetti, Mariana -
Añón, Valeria - Schnirmajer, Ariela ",vigente,PICT,S/D,"Instituto de Literatura Hispanoamericana; Facultad de Filosofía y Letras; Universidad de Buenos Aires;
 Agencia Nacional de Promoción Científica y Tecnológica ",2015,2019,http://ilh.institutos.filo.uba.ar/proyecto/t%C3%A9rminos-cr%C3%ADticos-y-palabras-clave-en-la-literatura-latinoamericana,PICT- 2014-3218
La narrativa en el Bizancio temprano (ss. IV-IX),"Cavallero, Pablo",S/D,S/D,PICT,S/D,Universidad de Buenos Aires,S/D,S/D,S/D,PICT-2017- 0387
Las relaciones interoracionales en la gramática y en el texto,"Gianmmatteo, Graciela Mabel ",S/D,S/D,PICT,S/D,Universidad de Buenos Aires,S/D,S/D,S/D,PICT-2017- 0434
Lenguas indígenas del Gran Chaco y zonas adyacentes. Fenómenos gramaticales y prácticas comunicativas en contextos plurilingües," Messineo, Maria Cristina","Cúneo, Paola
Tacconi, Temis Lucía
Dolzani, Mercedes Valeria",vigente,PICT,"El presente proyecto tiene por objetivo dar continuidad, ampliar y profundizar los estudios sobre de las siguientes lenguas indígenas de la región del Gran Chaco y zonas adyacentes: toba (tronco guaycurú), chorote y maká (tronco mataguayo), y guaraní criollo (tronco tupi-guaraní). A partir de una noción amplia de lengua, la investigación se focaliza en dos ejes, uno de carácter estrictamente lingüístico y el otro de corte lingüístico-antropológico. Respecto del primero, se seleccionan tres fenómenos gramaticales de interés actual para la lingüística teórica y escasamente descriptos en las lenguas mencionadas: 1) tiempo, modo, aspecto y evidencialidad (TAM), 2) sistemas de alineamiento y estructura argumental (SA/EA) y 3) estructura de la información (EI).En relación con el segundo eje, el estudio se centra en la documentación y el análisis de las prácticas comunicativas qom, con foco en el uso y las funciones de la lengua toba y su relación con procesos socioculturales de identificación, pertenencia y apropiación a los contextos sociales particulares. Desde esta perspectiva, se analizarán los fenómenos gramaticales y discursivos que actúan como indicadores de desplazamiento y revitalización lingüística en el habla de jóvenes qom en contextos plurilingües.",Instituto de Lingüística; Facultad de Filosofía y Letras; Universidad de Buenos Aires; Agencia Nacional de Promoción Científica y Tecnológica ,2017,2020,http://il.institutos.filo.uba.ar/proyecto/lenguas-ind%C3%ADgenas-del-gran-chaco-y-zonas-adyacentes-fen%C3%B3menos-gramaticales-y-pr%C3%A1cticas,S/D
"Prácticas de enseñanza que promueven u obstaculizan la participación y el aprendizaje a través de la lectura y la escritura en diferentes materias de la educación secundaria y superior
"," Carlino, Paula Cecilia","
Alfie, Lionel David
Cartolari, Manuela
Colombo, Laura
Molina, María Elena
Roni, Carolina
Rosli, Natalia",vigente,PICT,"Con aportes pluridisciplinares, articulados a partir de nociones de la didáctica general y de las específicas, el proyecto describirá y caracterizará los usos de la lectura y la escritura en aulas de distintas áreas curriculares del nivel secundario y superior, que atienden a sectores socioeconómicos diversos. Para tal fin, indagamos las condiciones educativas que promueven o dificultan que leer y escribir sean encarados como objetos de enseñanza y funcionen en tanto vías de acceso al conocimiento, prácticas de participación y herramientas potenciadoras del aprendizaje. En lo específico, proyectamos: a) caracterizar qué acciones docentes vinculadas con leer y escribir en las asignaturas promueven la apropiación de sus contenidos; b) reconocer qué desafíos enfrentan los profesores para entramar situaciones de lectura y escritura con la enseñanza de sus disciplinas y cómo los afrontan; c) especificar cómo valoran las propuestas desarrolladas en sus aulas; d) identificar qué dificultades encuentran los estudiantes al leer y escribir para aprender, qué ayudas pedagógicas reciben y cuáles expresan necesitar; e) comprender el funcionamiento de las secuencias didácticas en aulas con alumnos de sectores medios y provenientes de familias en situación de vulnerabilidad social. Estos objetivos se abordan a través de estudios naturalistas (sobre la enseñanza habitual) e intervencionistas (de diseño didáctico), que aportarán a las discusiones pedagógicas a partir de conocimientos generados dentro de las aulas. Se observarán y transcribirán clases, se entrevistará a docentes y alumnos y se recopilarán documentos institucionales y áulicos, a fin de triangularlos metodológicamente. Como resultados esperados, se caracterizarán las prácticas de enseñanza de y mediadas por la lectura y la escritura, se especificará cómo y por qué leer y escribir pudieron (o no) entrelazarse con la enseñanza de las materias, y se determinará si y cómo estas prácticas contribuyeron a que los alumnos comprendieran, reelaboraran y se apropiaran de los contenidos disciplinares. La descripción e interpretación de los usos de la lectura y la escritura en distintos sistemas de interacción entre docentes, alumnos y saberes a enseñar contribuirán al debate sobre los modos más y menos fecundos de enseñar a leer y a escribir, y de enseñar contenidos disciplinares con ayuda de la lectura y la escritura. Así, buscamos aportar a las discusiones presentes en la bibliografía acerca de si estas prácticas han de enseñarse sólo en espacios curriculares específicos (talleres de escritura, clases de Lengua, cursos de “alfabetización académica”, etc.) o si es posible también integrarlas en las asignaturas disciplinares, de qué modos, con qué retos y alcances. Los resultados también ayudarán a especificar las condiciones didácticas en que es posible involucrar en aprendizajes relevantes y de calidad a todos los alumnos, incluso a los provenientes de sectores generalmente excluidos de ellos.",Instituto de Lingüística; Facultad de Filosofía y Letras; Universidad de Buenos Aires; Agencia Nacional de Promoción Científica y Tecnológica,2016,2019,http://il.institutos.filo.uba.ar/proyecto/pr%C3%A1cticas-de-ense%C3%B1anza-que-promueven-u-obstaculizan-la-participaci%C3%B3n-y-el-aprendizaje,S/D
En los márgenes de Chrétien de Troyes: la narrativa de caballería en francés entre los siglos XII y XIII,"Artal, Susana","Amor, Lidia
Caba, Susana
Lacalle, Juan Manuel
Aldazabal, Ana
Gómez, Mariana
Dumas, María",vigente,PICT,S/D,"Instituto de Filología y Literatura Hispánica ""Dr. Amado Alonso""; Facultad de Filosofía y Letras; Universidad de Buenos Aires; Agencia Nacional de Promoción Científica y Tecnológica ",2016,2019,http://iflh.institutos.filo.uba.ar/proyecto/en-los-m%C3%A1rgenes-de-chr%C3%A9tien-de-troyes-la-narrativa-de-caballer%C3%ADa-en-franc%C3%A9s-entre-los,PICT- 2016-3481
Heterogeneidad discursiva colonial en América: universos míticos y utópicos en tres crónicas de Indias,"Teglia, Vanina","Colombi, Beatriz-
Rosetti, Mariana-
Altuna, Elena -
Vitali, Guillermo Ignacio ",finalizado,PICT,S/D,"Instituto de Literatura Hispanoamericana; Facultad de Filosofía y Letras; Universidad de Buenos Aires;
 Agencia Nacional de Promoción Científica y Tecnológica ",2014,2017,http://ilh.institutos.filo.uba.ar/proyecto/heterogeneidad-discursiva-colonial-en-am%C3%A9rica-universos-m%C3%ADticos-y-ut%C3%B3picos-en-tres-cr%C3%B3nicas,PICT- 2013-1861
"Poéticas de la frontera. Nomadismo, diáspora y exilio en la literatura caribeña contemporánea","Manzoni, Celina","Aiello,Francisco -
Noya, Elsa -
Eichenbronner, Ana -Silva, María Guadalupe - Pampín, María Fernanda Becarios
González, María Virginia -
Escobar, Mariela -",finalizado,PICT,S/D,"Instituto de Literatura Hispanoamericana; Facultad de Filosofía y Letras; Universidad de Buenos Aires;
 Agencia Nacional de Promoción Científica y Tecnológica ",2014,2017,http://ilh.institutos.filo.uba.ar/proyecto/po%C3%A9ticas-de-la-frontera-nomadismo-di%C3%A1spora-y-exilio-en-la-literatura-caribe%C3%B1a-contempor%C3%A1nea,PICT-2014-359
"Materialidades, circuitos y sujetos de la lectura y la escritura en la literatura colonial latinoamericana (siglos XVI y XVII)"," Añón, Valeria - El Jaber, Loreley","Benítes, María Jesús -
Aldao, María Inés ",finalizado,PICT,S/D,"Instituto de Literatura Hispanoamericana; Facultad de Filosofía y Letras; Universidad de Buenos Aires;
 Agencia Nacional de Promoción Científica y Tecnológica ",2014,2017,http://ilh.institutos.filo.uba.ar/proyecto/materialidades-circuitos-y-sujetos-de-la-lectura-y-la-escritura-en-la-literatura-colonial,PICT-2014-2127
Figuras de la comunidad en la literatura brasileña," Aguilar, Gonzalo Garramuño, Florencia","
Baamonde Cabezas, Laura -
Kogan, Adriana ",finalizado,PICT,S/D,"Instituto de Literatura Hispanoamericana; Facultad de Filosofía y Letras; Universidad de Buenos Aires;
 Agencia Nacional de Promoción Científica y Tecnológica ",2014,2017,http://ilh.institutos.filo.uba.ar/proyecto/figuras-de-la-comunidad-en-la-literatura-brasile%C3%B1a,PICT- 20-0523
"Materialidades, circuitos y sujetos de la lectura y la escritura en la literatura colonial latinoamericana (siglos XVI y XVII)"," Añón, Valeria - El Jaber, Loreley","Benítes, María Jesús -
Aldao, María Inés ",finalizado,PICT,S/D,"Instituto de Literatura Hispanoamericana; Facultad de Filosofía y Letras; Universidad de Buenos Aires;
 Agencia Nacional de Promoción Científica y Tecnológica ",2014,2017,http://ilh.institutos.filo.uba.ar/proyecto/materialidades-circuitos-y-sujetos-de-la-lectura-y-la-escritura-en-la-literatura-colonial,PICT- 2014-2127
Términos críticos y palabras clave en la literatura latinoamericana," Colombi, Beatriz","Teglia, Vanina -
Ruiz, Facundo -
Aldao, María Inés - Caresani, Rodrigo -
Rosetti, Mariana -
Añón, Valeria - Schnirmajer, Ariela ",vigente,PICT,S/D,"Instituto de Literatura Hispanoamericana; Facultad de Filosofía y Letras; Universidad de Buenos Aires;
 Agencia Nacional de Promoción Científica y Tecnológica ",2015,2019,http://ilh.institutos.filo.uba.ar/proyecto/t%C3%A9rminos-cr%C3%ADticos-y-palabras-clave-en-la-literatura-latinoamericana,PICT-2014-3218
La narrativa histórica medieval castellana de inspiración nobiliaria: edición y estudio formal e ideológico,"Funes, Leonardo","Zubillaga, A, Carina Alejandra, Saracino, Pablo Enrique, Soler Bistué, Maximiliano Augusto, Del Río, María Gimena, Janin, Érica Noemí, Abeledo, Manuel, Hamlin, Cinthia María, Olivetto, Georgina, Lacomba; Marta, Valdaliso Casanova A, Covadonga; Alves Moreira, Filipe; 
Alcatena, María Eugenia; Marti, Melisa; Kalinowski, Santiago",S/D,PICT,"El propósito del proyecto es elaborar un modelo descriptivo y explicativo de la evolución de la narrativa historiográfica en lengua castellana durante el período posterior a Alfonso X (1285-1330), tanto en su dinámica interna como en su proyección sobre el sistema de géneros narrativos bajomedievales. Para ello se estudiará específicamente la producción cronística de inspiración nobiliaria, es decir, aquella que se desarrolló fuera del ámbito de la corte regia. También se propone la edición digital de dos textos crónísticos del período: la *Historia hasta 1288 dialogada y la “Estoria cabadelante” de la Crónica particular de San Fernando. Se incluirá, finalmente, en esta tarea editorial, un conjunto de relatos crónisticos nobiliarios dispersos que la crítica denominó en su momento *Historia nobiliaria, aunque hoy se sabe que no llegaron a constituir un texto independiente. Se trata, pues, de aunar la tarea ecdótica con el análisis histórico-literario con el fin de arribar a conclusiones más sólidas sobre este período de la historiografía medieval castellana.","SECRIT - IIBICRIT; Agencia Nacional de Promoción Científica y Tecnológica
",S/D,S/D,http://www.iibicrit-conicet.gov.ar/wordpress/investigacion/critica-textual-ecdotica-edicion-de-textos/,PICT- 2014-2308
"Ideologías lingüísticas en la prensa escrita en Argentina (1810-1930). Corpus, teorías, métodos","López García, María",S/D,finalizado,PICT,"El proyecto tiene por objetivo el estudio integral de la circulación y mediatización de las ideologías lingüísticas en la prensa escrita (ILPE) en Argentina desde la Revolución de Mayo y hasta los años 30 del siglo XX, en una periodización que pretende incluir, con las pertinentes subdivisiones, las formas incipientes de la prensa periódica en el periodo post independentista y fundamentalmente la consolidación del medio, sus prácticas y, sobre todo, la formación de un público en el proceso de modernización que se abre en la última parte del siglo XIX y alcanza a las primeras décadas del XX. En ese sentido, si bien se pretende tomar en consideración las ideologías lingüísticas en sentido amplio, se atenderá a la especial relevancia de los debates ideológico-lingüísticos tal como son delimitados en estudios previos, esto es, prestando especial atención a aquellos discursos y polémicas más salientes acerca de la relación entre lengua, literatura, cultura y formación de la nación. Así, si bien en los últimos años el campo de investigación que concentra los estudios sobre los discursos sobre la lengua y las distintas formas de conjugar lengua, lingüística e ideología se ha visto enriquecido con aportes numerosos, valiosos y diversos desde distintos enfoques disciplinares, el abordaje específico del problema desde la materialidad de su circulación en la prensa escrita en el momento justamente en el que la misma se constituye en uno de los medios privilegiados para la formación del moderno Estado","SECRIT - IIBICRIT; Agencia Nacional de Promoción Científica y Tecnológica
",2015,2017,http://www.iibicrit-conicet.gov.ar/wordpress/investigacion/el-espanol-de-america-historia-de-la-variedad-rioplatense/,S/D
"Literatura, revistas culturales y prensa en Argentina (1880-1950)","Saítta, Sylvia - Quereilhac; Soledad ","Barral, Manuela; Greco, Martín; Devés, Magalí; Servelli, Martín; Rey, Ana Lía",vigente,PICT,"El proyecto propone el estudio de los diálogos, cruces y redes de relación entre la literatura argentina y diferentes prácticas, tópicos y procedimientos narrativos modelados por los medios de comunicación; particularmente, por la prensa escrita y las publicaciones periódicas. Diarios, revistas y publicaciones periódicas cumplen respecto de la literatura funciones múltiples y heterogéneas: son soporte material, condición de posibilidad y emergencia de géneros y textos, espacio de articulación de diversas trayectorias y adscripciones autorales, modeladores de discursos y prácticas de escritura y apropiación. La hipótesis del proyecto sostiene que el complejo entramado del discurso literario y el discurso periodístico es uno de los problemas centrales de la literatura argentina, pues articula tensiones entre oralidad y escritura, procesos de profesionalización de escritores y periodistas, cruces entre los circuitos altos y bajos, y es, a su vez, ámbito de mediación cultural entre circuitos de lectura y escritura diversos. Son objetivos del proyecto la lectura de relatos ficcionales, crónicas, poemas y ensayos en el marco de las publicaciones periódicas en las que se publicaron por primera vez, para re-inscribirlos, de este modo, en los debates estéticos e ideológicos de distintos momentos de la historia argentina, atendiendo a los siguientes ejes de problemas: los cruces entre diferentes estilos y géneros discursivos; las cuestiones históricas y sociológicas relacionadas con la constitución de modernos espacios de circulación cultural; las relaciones entre escritores, prensa y público; las rupturas genéricas, los cruces discursivos, la producción de textos a partir de reorganizaciones del discurso literario. En la lectura de este corpus de textos se analizarán los modos en que la ficción se trama con otros discursos; sus desplazamientos estéticos y formales; la configuración de géneros específicos, como el comentario bibliográfico, el cuento breve, la crónica de viaje o la glosa; el ""adelanto"" de las novelas y su pasaje al formato libro.","CONICET-Consejo Nacional de Investigaciones; Agencia Nacional de Promoción Científica y Tecnológica
",2018,2021,,PICT-2016- 1226
"Hegemonías y disensos en torno a la regulación del español contemporáneo. Perspectivas nacional, regional y global","Lauria, Daniela","Bentivegna, Diego Luis; Rizzo, María Florencia; López García, María; Sartori, María Florencia; Zucchi, Mariano Nicolás; Niro, Mateo; Tallatta, Cecilia Natalia; Rubio Scola, Virginia Irene; Buisán, Andrés Omar; Bengochea, Natalia Inés, Blanco, Gonzalo",vigente,PICT,"Este proyecto de investigación aborda desde la perspectiva glotopolítica las acciones de regulación del español contemporáneo a escala nacional, regional y global. El español es una de las lenguas más reguladas del mundo debido a la existencia de una red de academias de la lengua española que, desde hace muchos años (incluso siglos en algunos casos), han operado como sus principales agentes codificadores, acompañando y siendo funcionales a determinados proyectos de unidades políticas (naciones, imperios, áreas transnacionales). En la actualidad, por su parte, los efectos que trae aparejados la globalización, con sus transformaciones y sus progresivos ajustes y tensiones (global/local), no son ajenos al espacio público del lenguaje, en general, y al ordenamiento de las lenguas históricas, en particular, puesto que inciden en las prácticas lingüísticas y discursivas. En el caso específico del español, esta situación exige, según lógicas diversas e, incluso, en pugna, nuevas intervenciones, nuevas formas de gestión tanto sobre el estatus (función) como sobre el corpus (forma) y la adquisición (enseñanza) de la lengua en las que participan activamente las academias, pero también actúan otros agentes e instituciones que buscan arbitrar el orden lingüístico. Nos proponemos realizar un aporte a la caracterización y explicación glotopolíticas de los últimos años en un contexto atravesado por el impacto y el avance constante de las tecnologías de la información y de la comunicación, así como por los procesos de globalización, transnacionalización e integración regional, que afectan (y redefinen) el concepto, las funciones y los atributos simbólicos tradicionales del Estado nacional. Para ello, identificaremos, relevaremos y describiremos en corpora documentales del archivo histórico reciente las posiciones y las orientaciones, incluso en disputa, y su relación con las ideologías lingüísticas que las sostienen, en torno a la regulación de la lengua española en el siglo XXI y analizaremos cómo impactan los gestos de regulación lingüística en el sistema educativo argentino. Nuestra contribución práctica apunta a colaborar en la definición de medidas en el plano (de las representaciones) de la variedad lingüística local y, en particular, de su enseñanza tanto en el país como en la región a través del desarrollo de instrumentos lingüísticos adecuados para el ámbito escolar.",CONICET-Consejo Nacional de Investigaciones; Agencia Nacional de Promoción Científica y Tecnológica; Instituto de Lingüística; Facultad de Filosofía y Letras; Universidad de Buenos Aires,2017,2019,S/D,PICT- 2017-1794
Lenguas indígenas del Gran Chaco y zonas adyacentes. Fenómenos gramaticales y prácticas comunicativas en contextos,"Messineo, María Cristina",S/D,vigente,PICT,S/D,"Universidad de Buenos Aires; Agencia Nacional de Promoción Científica y Tecnológica
",2017,2019,S/D,PICT-2016- 4044
Políticas de la materialidad en las tecno-artes latinoamericanas contemporáneas. Análisis de casos en contextos analógicos y digitales,"Kozak, Claudia",S/D,vigente,PICT,S/D,"Universidad de Buenos Aires; Agencia Nacional de Promoción Científica y Tecnológica
",2017,2019,S/D,PICT-2016- 2035
La retórica heroica. Construcción y reformulación a través de la épica y la tragedia,"La Fico Guzzo, María Luisa",S/D,vigente,PICT,S/D,"Universidad Nacional del Sur; Agencia Nacional de Promoción Científica y Tecnológica
",2017,2019,S/D,PICT-2016- 1012
"España y Argentina en diálogo. Literatura, cultura, memoria","Macciuci, Raquel ",S/D,vigente,PICT,S/D,"Universidad Nacional de La Plata; Agencia Nacional de Promoción Científica y Tecnológica
",2017,2019,S/D,PICT-2016- 0623
"Enfermedad, monstruosidad y biopolítica en la literatura latinoamericana","Cano, Virginia",S/D,vigente,UBACYT,S/D,Instituto de Investigación de Estudios de Género; Facultad de Filosofía y Letras; Universidad de Buenos Aires,2017,2019,S/D,S/D
Letras de imprenta en la cultura del Cono Sur (1810-1960),"Amante, Adriana Esther - De Mendonça, Inés",,vigente,UBACYT,"En las últimas décadas, los estudios de literatura se han enriquecido con la incorporación de perspectivas que dieron particular relevancia a la materialidad y a la historicidad de su objeto: el trazo, la impresión; la letra, sus soportes concretos, su ordenamiento visual; la escritura, la lectura. El recorrido que proponemos por algunas obras de fundamentales de la literatura del Cono Sur (fundamentalmente la producida en la Argentina, pero también en Chile, la Banda Oriental o el sur del Brasil) durante el siglo XIX y primera mitad del veinte capitalizará esos acercamientos para relevar una trama cultural que también se lee en los textos. El propósito de esta investigación colectiva es volver a pensar la escritura a partir de algunas inflexiones materiales de su puesta en acto en manuscritos, cartas, periódicos, objetos culturales y piezas musicales y fílmicas, vinculándolas con los proyectos estético-políticos de sus productores. Queremos tener en cuenta el polo más extremo de la materialidad de la escritura: el de la palpabilidad del grafo; y considerar la inscripción de la letra (e incluso del dibujo, de la notación musical o fílmica) como marca o rastro, que puede al mismo tiempo constituirse en objeto autónomo, con un valor per se, como objeto cultural. Intentamos pensar la escritura como estilo, la caligrafía y la notación como forma ideológica y los dibujos como manera de representación gráfica. La escritura como grafía (caligrafía, tipografía, topografía e iconografía) es planteo de un argumento ideológico, pero también conceptualización visual, táctil y sonora que no es un mero vehículo de la idea sino la articulación más plena de una argumentación político-estética. Por otra parte, es la acción de leer la que genera también la expectativa de (algún tipo de) escritura. Consideraremos, entonces, el acto de leer no solo como experiencia en sí misma sino también en su sentido o valor anunciativo, y proponemos analizar las transposiciones que se generan: entre lenguajes, medios y soportes diferentes o en el mismo lenguaje, en el mismo medio, en el mismo soporte. Así es que analizaremos también las grafías de las lecturas o las grafías que desencadenan las lecturas, a manera de citas, epígrafes, referencias, relecturas, de planes o estructuras de obras, de proyectos literarios, de versiones, de marcas de estilo, de polémicas estéticas e ideológicas, de puestas en relación entre lo oral y lo escrito o entre lo verbal y lo visual o lo sonoro.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170200289BA
